# Copyright (C) 1991-2014 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.4 Build 182 03/12/2014 SJ Full Version
# File: D:\uni\Lehre\SystemOnaChip\VHDL\CycloneV_GX_pin_assignments.csv
# Generated on: Tue Mar 25 07:56:25 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
HEX0[0],Output,PIN_V19,4A,B4A_N0,PIN_V19,1.2 V,,,,,,,,,,,,
HEX1[6],Output,PIN_AF24,4A,B4A_N0,PIN_AF24,1.2 V,,,,,,,,,,,,
HEX1[5],Output,PIN_AC19,4A,B4A_N0,PIN_AC19,1.2 V,,,,,,,,,,,,
HEX1[4],Output,PIN_AE25,4A,B4A_N0,PIN_AE25,1.2 V,,,,,,,,,,,,
HEX1[3],Output,PIN_AE26,4A,B4A_N0,PIN_AE26,1.2 V,,,,,,,,,,,,
HEX1[2],Output,PIN_AB19,4A,B4A_N0,PIN_AB19,1.2 V,,,,,,,,,,,,
HEX1[1],Output,PIN_AD26,4A,B4A_N0,PIN_AD26,1.2 V,,,,,,,,,,,,
HEX1[0],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,1.2 V,,,,,,,,,,,,
HEX2[6],Output,PIN_W20,5A,B5A_N0,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,
HEX2[5],Output,PIN_W21,5A,B5A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,
HEX2[4],Output,PIN_V20,5A,B5A_N0,PIN_V20,3.3-V LVTTL,,,,,,,,,,,,
HEX2[3],Output,PIN_V22,5A,B5A_N0,PIN_V22,3.3-V LVTTL,,,,,,,,,,,,
HEX2[2],Output,PIN_U20,5A,B5A_N0,PIN_U20,3.3-V LVTTL,,,,,,,,,,,,
HEX2[1],Output,PIN_AD6,3A,B3A_N0,PIN_AD6,3.3-V LVTTL,,,,,,,,,,,,
HEX2[0],Output,PIN_AD7,3A,B3A_N0,PIN_AD7,3.3-V LVTTL,,,,,,,,,,,,
HEX3[6],Output,PIN_AC22,5A,B5A_N0,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,
HEX3[5],Output,PIN_AC23,5A,B5A_N0,PIN_AC23,3.3-V LVTTL,,,,,,,,,,,,
HEX3[4],Output,PIN_AC24,5A,B5A_N0,PIN_AC24,3.3-V LVTTL,,,,,,,,,,,,
HEX3[3],Output,PIN_AA22,5A,B5A_N0,PIN_AA22,3.3-V LVTTL,,,,,,,,,,,,
HEX3[2],Output,PIN_AA23,5A,B5A_N0,PIN_AA23,3.3-V LVTTL,,,,,,,,,,,,
HEX3[1],Output,PIN_Y23,5A,B5A_N0,PIN_Y23,3.3-V LVTTL,,,,,,,,,,,,
HEX3[0],Output,PIN_Y24,5A,B5A_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,4A,B4A_N0,PIN_Y16,1.2 V,,,,,,,,,,,,
KEY[2],Input,PIN_Y15,4A,B4A_N0,PIN_Y15,1.2 V,,,,,,,,,,,,
KEY[1],Input,PIN_P12,3B,B3B_N0,PIN_P12,1.2 V,,,,,,,,,,,,
KEY[0],Input,PIN_P11,3B,B3B_N0,PIN_P11,1.2 V,,,,,,,,,,,,
LEDG[7],Output,PIN_H9,8A,B8A_N0,PIN_H9,2.5 V,,,,,,,,,,,,
LEDG[6],Output,PIN_H8,8A,B8A_N0,PIN_H8,2.5 V,,,,,,,,,,,,
LEDG[5],Output,PIN_B6,8A,B8A_N0,PIN_B6,2.5 V,,,,,,,,,,,,
LEDG[4],Output,PIN_A5,8A,B8A_N0,PIN_A5,2.5 V,,,,,,,,,,,,
LEDG[3],Output,PIN_E9,8A,B8A_N0,PIN_E9,2.5 V,,,,,,,,,,,,
LEDG[2],Output,PIN_D8,8A,B8A_N0,PIN_D8,2.5 V,,,,,,,,,,,,
LEDG[1],Output,PIN_K6,8A,B8A_N0,PIN_K6,2.5 V,,,,,,,,,,,,
LEDG[0],Output,PIN_L7,8A,B8A_N0,PIN_L7,2.5 V,,,,,,,,,,,,
LEDR[9],Output,PIN_J10,8A,B8A_N0,PIN_J10,2.5 V,,,,,,,,,,,,
LEDR[8],Output,PIN_H7,8A,B8A_N0,PIN_H7,2.5 V,,,,,,,,,,,,
LEDR[7],Output,PIN_K8,8A,B8A_N0,PIN_K8,2.5 V,,,,,,,,,,,,
LEDR[6],Output,PIN_K10,8A,B8A_N0,PIN_K10,2.5 V,,,,,,,,,,,,
LEDR[5],Output,PIN_J7,8A,B8A_N0,PIN_J7,2.5 V,,,,,,,,,,,,
LEDR[4],Output,PIN_J8,8A,B8A_N0,PIN_J8,2.5 V,,,,,,,,,,,,
LEDR[3],Output,PIN_G7,8A,B8A_N0,PIN_G7,2.5 V,,,,,,,,,,,,
LEDR[2],Output,PIN_G6,8A,B8A_N0,PIN_G6,2.5 V,,,,,,,,,,,,
LEDR[1],Output,PIN_F6,8A,B8A_N0,PIN_F6,2.5 V,,,,,,,,,,,,
LEDR[0],Output,PIN_F7,8A,B8A_N0,PIN_F7,2.5 V,,,,,,,,,,,,
SRAM_A[17],Output,PIN_M24,6A,B6A_N0,PIN_M24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[16],Output,PIN_N24,6A,B6A_N0,PIN_N24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[15],Output,PIN_J26,6A,B6A_N0,PIN_J26,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[14],Output,PIN_J25,6A,B6A_N0,PIN_J25,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[13],Output,PIN_F22,6A,B6A_N0,PIN_F22,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[12],Output,PIN_E21,6A,B6A_N0,PIN_E21,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[11],Output,PIN_F21,6A,B6A_N0,PIN_F21,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[10],Output,PIN_G20,6A,B6A_N0,PIN_G20,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[9],Output,PIN_E23,6A,B6A_N0,PIN_E23,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[8],Output,PIN_D22,6A,B6A_N0,PIN_D22,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[7],Output,PIN_J21,6A,B6A_N0,PIN_J21,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[6],Output,PIN_J20,6A,B6A_N0,PIN_J20,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[5],Output,PIN_C25,6A,B6A_N0,PIN_C25,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[4],Output,PIN_D25,6A,B6A_N0,PIN_D25,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[3],Output,PIN_H20,6A,B6A_N0,PIN_H20,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[2],Output,PIN_H19,6A,B6A_N0,PIN_H19,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[1],Output,PIN_B26,6A,B6A_N0,PIN_B26,3.3-V LVTTL,,,,,,,,,,,,
SRAM_A[0],Output,PIN_B25,6A,B6A_N0,PIN_B25,3.3-V LVTTL,,,,,,,,,,,,
SRAM_CE_N,Output,PIN_N23,6A,B6A_N0,PIN_N23,,,,,,,,,,,,,
SRAM_D[15],Bidir,PIN_K21,6A,B6A_N0,PIN_K21,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[14],Bidir,PIN_L22,6A,B6A_N0,PIN_L22,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[13],Bidir,PIN_G22,6A,B6A_N0,PIN_G22,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[12],Bidir,PIN_F23,6A,B6A_N0,PIN_F23,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[11],Bidir,PIN_J23,6A,B6A_N0,PIN_J23,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[10],Bidir,PIN_H22,6A,B6A_N0,PIN_H22,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[9],Bidir,PIN_H24,6A,B6A_N0,PIN_H24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[8],Bidir,PIN_H23,6A,B6A_N0,PIN_H23,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[7],Bidir,PIN_L24,6A,B6A_N0,PIN_L24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[6],Bidir,PIN_L23,6A,B6A_N0,PIN_L23,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[5],Bidir,PIN_G24,6A,B6A_N0,PIN_G24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[4],Bidir,PIN_F24,6A,B6A_N0,PIN_F24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[3],Bidir,PIN_K23,6A,B6A_N0,PIN_K23,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[2],Bidir,PIN_K24,6A,B6A_N0,PIN_K24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[1],Bidir,PIN_E25,6A,B6A_N0,PIN_E25,3.3-V LVTTL,,,,,,,,,,,,
SRAM_D[0],Bidir,PIN_E24,6A,B6A_N0,PIN_E24,3.3-V LVTTL,,,,,,,,,,,,
SRAM_LB_N,Output,PIN_H25,6A,B6A_N0,PIN_H25,,,,,,,,,,,,,
SRAM_OE_N,Output,PIN_M22,6A,B6A_N0,PIN_M22,,,,,,,,,,,,,
SRAM_UB_N,Output,PIN_M25,6A,B6A_N0,PIN_M25,,,,,,,,,,,,,
SRAM_WE_N,Output,PIN_G25,6A,B6A_N0,PIN_G25,,,,,,,,,,,,,
SW[9],Input,PIN_AE19,4A,B4A_N0,PIN_AE19,1.2 V,,,,,,,,,,,,
SW[8],Input,PIN_Y11,3B,B3B_N0,PIN_Y11,1.2 V,,,,,,,,,,,,
SW[7],Input,PIN_AC10,3B,B3B_N0,PIN_AC10,1.2 V,,,,,,,,,,,,
SW[6],Input,PIN_V10,3B,B3B_N0,PIN_V10,1.2 V,,,,,,,,,,,,
SW[5],Input,PIN_AB10,3B,B3B_N0,PIN_AB10,1.2 V,,,,,,,,,,,,
SW[4],Input,PIN_W11,3B,B3B_N0,PIN_W11,1.2 V,,,,,,,,,,,,
SW[3],Input,PIN_AC8,3B,B3B_N0,PIN_AC8,1.2 V,,,,,,,,,,,,
SW[2],Input,PIN_AD13,4A,B4A_N0,PIN_AD13,1.2 V,,,,,,,,,,,,
SW[1],Input,PIN_AE10,4A,B4A_N0,PIN_AE10,1.2 V,,,,,,,,,,,,
SW[0],Input,PIN_AC9,3B,B3B_N0,PIN_AC9,1.2 V,,,,,,,,,,,,
UART_RX,Input,PIN_M9,8A,B8A_N0,PIN_M9,2.5 V,,,,,,,,,,,,
UART_TX,Output,PIN_L9,8A,B8A_N0,PIN_L9,2.5 V,,,,,,,,,,,,
ADC_CONVST,Unknown,PIN_AB22,4A,B4A_N0,,1.2 V,,,,,,,,,,,,
ADC_SCK,Unknown,PIN_AA21,4A,B4A_N0,,1.2 V,,,,,,,,,,,,
ADC_SDI,Unknown,PIN_Y10,3B,B3B_N0,,1.2 V,,,,,,,,,,,,
ADC_SDO,Unknown,PIN_W10,3B,B3B_N0,,1.2 V,,,,,,,,,,,,
AUD_ADCDAT,Unknown,PIN_D7,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
AUD_ADCLRCK,Unknown,PIN_C7,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
AUD_BCLK,Unknown,PIN_E6,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
AUD_DACDAT,Unknown,PIN_H10,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
AUD_DACLRCK,Unknown,PIN_G10,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
AUD_XCK,Unknown,PIN_D6,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
CLOCK_50_B3B,Unknown,PIN_T13,3B,B3B_N0,,1.2 V,,,,,,,,,,,,
CLOCK_50_B6A,Unknown,PIN_N20,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
CLOCK_50_B7A,Unknown,PIN_H12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
CLOCK_50_B8A,Unknown,PIN_M10,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
CLOCK_125_p,Unknown,PIN_U12,4A,B4A_N0,,LVDS,,,,CLOCK_125_p(n),,,,,,,,
CLOCK_125_p(n),Unknown,PIN_V12,4A,B4A_N0,,LVDS,,,,CLOCK_125_p,,,,,,,,
HDMI_TX_CLK,Unknown,PIN_Y25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[23],Unknown,PIN_AD25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[22],Unknown,PIN_AC25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[21],Unknown,PIN_AB25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[20],Unknown,PIN_AA24,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[19],Unknown,PIN_AB26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[18],Unknown,PIN_R26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[17],Unknown,PIN_R24,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[16],Unknown,PIN_P21,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[15],Unknown,PIN_P26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[14],Unknown,PIN_N25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[13],Unknown,PIN_P23,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[12],Unknown,PIN_P22,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[11],Unknown,PIN_R25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[10],Unknown,PIN_R23,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[9],Unknown,PIN_T26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[8],Unknown,PIN_T24,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[7],Unknown,PIN_T23,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[6],Unknown,PIN_U24,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[5],Unknown,PIN_V25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[4],Unknown,PIN_V24,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[3],Unknown,PIN_W26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[2],Unknown,PIN_W25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[1],Unknown,PIN_AA26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_D[0],Unknown,PIN_V23,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_DE,Unknown,PIN_Y26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_HS,Unknown,PIN_U26,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HDMI_TX_INT,Unknown,PIN_T12,3B,B3B_N0,,1.2 V,,,,,,,,,,,,
HDMI_TX_VS,Unknown,PIN_U25,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
HSMC_CLKIN0,Unknown,PIN_N9,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKIN_n[2],Unknown,PIN_K9,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKIN_n[1],Unknown,PIN_G14,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKIN_p[2],Unknown,PIN_L8,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKIN_p[1],Unknown,PIN_G15,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKOUT0,Unknown,PIN_A7,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKOUT_n[2],Unknown,PIN_A16,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKOUT_n[1],Unknown,PIN_A18,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKOUT_p[2],Unknown,PIN_A17,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_CLKOUT_p[1],Unknown,PIN_A19,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_D[3],Unknown,PIN_H13,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_D[2],Unknown,PIN_D12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_D[1],Unknown,PIN_H14,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_D[0],Unknown,PIN_D11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[16],Unknown,PIN_A24,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[15],Unknown,PIN_D20,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[14],Unknown,PIN_E19,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[13],Unknown,PIN_D17,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[12],Unknown,PIN_D16,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[11],Unknown,PIN_D15,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[10],Unknown,PIN_D13,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[9],Unknown,PIN_E15,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[8],Unknown,PIN_F18,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[7],Unknown,PIN_F12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[6],Unknown,PIN_G17,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[5],Unknown,PIN_J11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[4],Unknown,PIN_J16,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[3],Unknown,PIN_K11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[2],Unknown,PIN_H17,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[1],Unknown,PIN_L11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_n[0],Unknown,PIN_M12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[16],Unknown,PIN_B24,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[15],Unknown,PIN_D21,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[14],Unknown,PIN_E20,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[13],Unknown,PIN_D18,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[12],Unknown,PIN_E16,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[11],Unknown,PIN_C14,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[10],Unknown,PIN_E13,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[9],Unknown,PIN_F16,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[8],Unknown,PIN_E18,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[7],Unknown,PIN_G12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[6],Unknown,PIN_G16,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[5],Unknown,PIN_J12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[4],Unknown,PIN_H15,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[3],Unknown,PIN_L12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[2],Unknown,PIN_H18,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[1],Unknown,PIN_M11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_RX_p[0],Unknown,PIN_N12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[16],Unknown,PIN_B20,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[15],Unknown,PIN_C18,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[14],Unknown,PIN_B17,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[13],Unknown,PIN_A22,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[12],Unknown,PIN_B14,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[11],Unknown,PIN_C22,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[10],Unknown,PIN_A13,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[9],Unknown,PIN_A9,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[8],Unknown,PIN_C12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[7],Unknown,PIN_A21,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[6],Unknown,PIN_C15,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[5],Unknown,PIN_B19,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[4],Unknown,PIN_A11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[3],Unknown,PIN_B11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[2],Unknown,PIN_C10,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[1],Unknown,PIN_B9,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_n[0],Unknown,PIN_E11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[16],Unknown,PIN_B21,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[15],Unknown,PIN_C19,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[14],Unknown,PIN_C17,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[13],Unknown,PIN_A23,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[12],Unknown,PIN_A14,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[11],Unknown,PIN_C23,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[10],Unknown,PIN_B12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[9],Unknown,PIN_A8,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[8],Unknown,PIN_C13,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[7],Unknown,PIN_B22,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[6],Unknown,PIN_B15,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[5],Unknown,PIN_C20,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[4],Unknown,PIN_B10,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[3],Unknown,PIN_A12,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[2],Unknown,PIN_D10,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[1],Unknown,PIN_C9,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
HSMC_TX_p[0],Unknown,PIN_E10,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
