# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Full Version
# File: M:\Altera_VHDL\ETTI4_Applications\DE0_CycloneIII_Eval_Board\Version_1_2\Quartus\pinning_top_level_de0_nano_nios_ucosii_via_assignment_editor.csv
# Generated on: Fri Feb 15 12:45:35 2013

Status,From,To,Assignment Name,Value,Enabled,Entity,Comment,Tag
Ok,,DRAM_DQ[12],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[13],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[14],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_DQ[15],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[0],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[1],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[2],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[3],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[4],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[5],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[6],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[7],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[8],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[9],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[10],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[11],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,DRAM_ADDR[12],I/O Standard,3.3-V LVTTL,Yes,,,
Ok,,LCD_DQ[7],Location,PIN_R11,Yes,,,
Ok,,LCD_DQ[6],Location,PIN_R10,Yes,,,
Ok,,LCD_DQ[5],Location,PIN_P9,Yes,,,
Ok,,LCD_DQ[4],Location,PIN_N11,Yes,,,
Ok,,LCD_DQ[3],Location,PIN_K16,Yes,,,
Ok,,LCD_DQ[2],Location,PIN_L15,Yes,,,
Ok,,LCD_DQ[1],Location,PIN_P16,Yes,,,
Ok,,LCD_DQ[0],Location,PIN_N16,Yes,,,
Ok,,LCD_EN,Location,PIN_T12,Yes,,,
Ok,,LCD_RS,Location,PIN_T11,Yes,,,
Ok,,LCD_RW,Location,PIN_T13,Yes,,,
,<<new>>,<<new>>,<<new>>,,,,,
